P901,P905,CCPP,NOMBREPV,CCDI,NOMBREDI
2,2,12,SANDIA,01,SANDIA
2,2,12,SANDIA,01,SANDIA
2,2,12,SANDIA,01,SANDIA
2,2,12,SANDIA,01,SANDIA
2,2,12,SANDIA,01,SANDIA
2,2,12,SANDIA,01,SANDIA
2,2,12,SANDIA,01,SANDIA
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,12,SANDIA,02,CUYOCUYO
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
1,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,10,SAN ANTONIO DE PUTINA,04,QUILCAPUNCU
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,11,SAN ANTON
2,2,02,AZANGARO,08,MUÑANI
2,2,02,AZANGARO,08,MUÑANI
2,2,02,AZANGARO,08,MUÑANI
2,2,02,AZANGARO,08,MUÑANI
2,2,02,AZANGARO,08,MUÑANI
2,2,02,AZANGARO,08,MUÑANI
2,2,02,AZANGARO,08,MUÑANI
2,2,02,AZANGARO,08,MUÑANI
2,2,02,AZANGARO,08,MUÑANI
1,2,02,AZANGARO,08,MUÑANI
2,2,02,AZANGARO,08,MUÑANI
2,2,02,AZANGARO,08,MUÑANI
2,2,02,AZANGARO,08,MUÑANI
1,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
1,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
1,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
1,2,02,AZANGARO,04,ASILLO
1,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
1,2,02,AZANGARO,04,ASILLO
1,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
1,2,02,AZANGARO,04,ASILLO
1,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,04,ASILLO
1,1,02,AZANGARO,04,ASILLO
1,2,02,AZANGARO,04,ASILLO
2,2,02,AZANGARO,01,AZANGARO
1,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
1,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
1,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
1,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
1,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,01,AZANGARO
2,2,02,AZANGARO,02,ACHAYA
1,2,02,AZANGARO,02,ACHAYA
2,2,02,AZANGARO,02,ACHAYA
2,2,02,AZANGARO,02,ACHAYA
2,2,02,AZANGARO,02,ACHAYA
2,2,02,AZANGARO,02,ACHAYA
2,2,02,AZANGARO,02,ACHAYA
1,2,02,AZANGARO,02,ACHAYA
2,2,02,AZANGARO,02,ACHAYA
1,2,02,AZANGARO,02,ACHAYA
2,2,02,AZANGARO,02,ACHAYA
1,2,02,AZANGARO,02,ACHAYA
2,2,02,AZANGARO,02,ACHAYA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
1,2,02,AZANGARO,03,ARAPA
1,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
1,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,03,ARAPA
2,2,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
1,1,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
2,2,02,AZANGARO,06,CHUPA
1,1,02,AZANGARO,10,SAMAN
2,1,02,AZANGARO,10,SAMAN
2,1,02,AZANGARO,10,SAMAN
1,2,02,AZANGARO,10,SAMAN
2,1,02,AZANGARO,10,SAMAN
2,2,02,AZANGARO,10,SAMAN
2,1,02,AZANGARO,10,SAMAN
2,1,02,AZANGARO,10,SAMAN
1,1,02,AZANGARO,10,SAMAN
2,1,02,AZANGARO,10,SAMAN
2,2,02,AZANGARO,10,SAMAN
2,1,02,AZANGARO,10,SAMAN
2,2,02,AZANGARO,10,SAMAN
2,1,02,AZANGARO,10,SAMAN
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,05,MACARI
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
1,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,07,ORURILLO
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
1,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
1,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
1,2,08,MELGAR,01,AYAVIRI
1,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
2,2,08,MELGAR,01,AYAVIRI
1,2,08,MELGAR,01,AYAVIRI
1,2,08,MELGAR,09,UMACHIRI
2,2,08,MELGAR,09,UMACHIRI
2,2,08,MELGAR,03,CUPI
2,2,08,MELGAR,03,CUPI
2,2,08,MELGAR,03,CUPI
1,2,08,MELGAR,03,CUPI
1,2,08,MELGAR,03,CUPI
2,2,08,MELGAR,03,CUPI
2,2,08,MELGAR,03,CUPI
2,2,08,MELGAR,03,CUPI
1,2,08,MELGAR,03,CUPI
2,2,08,MELGAR,03,CUPI
2,2,08,MELGAR,03,CUPI
2,2,08,MELGAR,03,CUPI
2,2,08,MELGAR,03,CUPI
2,2,07,LAMPA,08,PUCARA
2,2,07,LAMPA,08,PUCARA
2,2,07,LAMPA,08,PUCARA
2,2,07,LAMPA,08,PUCARA
2,2,07,LAMPA,08,PUCARA
2,2,07,LAMPA,08,PUCARA
1,2,07,LAMPA,08,PUCARA
2,2,07,LAMPA,08,PUCARA
2,2,07,LAMPA,08,PUCARA
2,2,07,LAMPA,08,PUCARA
2,2,07,LAMPA,08,PUCARA
2,1,07,LAMPA,04,NICASIO
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,07,PARATIA
2,2,07,LAMPA,02,CABANILLA
2,2,07,LAMPA,02,CABANILLA
2,2,07,LAMPA,02,CABANILLA
2,2,07,LAMPA,02,CABANILLA
2,2,07,LAMPA,02,CABANILLA
2,2,07,LAMPA,02,CABANILLA
2,2,07,LAMPA,02,CABANILLA
2,2,07,LAMPA,02,CABANILLA
2,2,07,LAMPA,02,CABANILLA
2,2,07,LAMPA,02,CABANILLA
2,2,07,LAMPA,02,CABANILLA
2,2,07,LAMPA,02,CABANILLA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
2,2,11,SAN ROMAN,01,JULIACA
