ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,Dominio,FACTOR,CODIGO,P102_1,P102_2,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16906,00041,0004, ,1,3,7,53.9102564103,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16906,00053,0005, ,1,3,7,53.9102564103,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16906,00066,0006, ,1,3,7,53.9102564103,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16906,00086,0008, ,1,3,7,53.9102564103,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16906,00090,0009, ,1,3,7,53.9102564103,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16906,00109,0011, ,1,3,7,53.9102564103,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16906,00113,0012, ,1,3,7,53.9102564103,1,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16906,00123,0013, ,1,3,7,53.9102564103,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16906,00134,0014, ,1,3,7,53.9102564103,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2015,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16909,00017,0002, ,1,3,7,53.9102564103,1,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
