ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00027,4, ,1,2,6,175.235897435897,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00036,5, ,1,2,6,175.235897435897,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00046,6, ,1,2,6,175.235897435897,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00056,7, ,1,2,6,175.235897435897,1, ,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00058,8, ,1,2,6,175.235897435897,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00067,9, ,1,2,6,175.235897435897,1, ,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00077,10, ,1,2,6,175.235897435897,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00087,11, ,1,2,6,175.235897435897,1, ,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00102,13, ,1,2,6,175.235897435897,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00110,14, ,1,2,6,175.235897435897,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00007,1, ,1,2,6,162.719047619048,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00009,2, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,1,2,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00028,3, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00034,4, ,1,2,6,162.719047619048,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00039,5, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,1,2,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00051,6, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00065,7, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00076,8, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,1,2,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00077,9, ,1,2,6,162.719047619048,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00093,10, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,1,2,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00108,11, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00110,12, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,1,2,2, , , , , , , , , 
