ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00140,13, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,03,AYAPATA,16843,00151,14, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00010,1, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00032,2, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00047,3, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00052,4, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00080,5, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00082,6, ,1,2,6,162.719047619048,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00108,7, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00115,8, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00131,9, ,1,2,6,162.719047619048,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00146,10, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00168,11, ,1,2,6,162.719047619048,1, ,1,0,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00179,12, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00184,13, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,04,COASA,16850,00208,14, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00010,1, ,1,2,6,162.719047619048,1, ,0,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00016,2, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00041,3, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00054,4, ,1,2,6,162.719047619048,1, ,0,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00074,5, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00090,6, ,1,2,6,162.719047619048,1, ,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00101,7, ,1,2,6,162.719047619048,1, ,0,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00110,8, ,1,2,6,162.719047619048,1, ,1,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00128,9, ,1,2,6,162.719047619048,1, ,0,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2019,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00141,10, ,1,2,6,162.719047619048,1, ,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2, ,2, , , , , , , , , 
2019,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00151,11, ,1,2,6,162.719047619048,1, ,0,1,2, , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
