ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,NSEGM,ID_PROD,UA,RESFIN,REGION,ESTRATO,FACTOR_PRODUCTOR,CODIGO,P101A,P142_1,P142_2,P142_3,P901,P902,P903_1,P903_2,P903_3,P903_4,P903_5,P903_6,P903_7,P903_8,P903_9,P903_10,P903_11,P904_1,P904_2,P904_3,P904_4,P904_5,P904_6,P904_7,P904_8,P904_9,P904A,P905,P906,P907,P908_1,P908_2,P908_3,P908_4,P908_5,P908_6,P908_7,P908_8,OMICAP900
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,02,02,1,2,211341003,113.484069824219,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,03,03,1,2,211341003,28.9439544677734,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,04,04,1,2,211341003,377.939025878906,1, ,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,05,05,1,2,211341003,15.2553672790527,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,06,06,1,2,211341003,9.38173389434814,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,07,07,1,2,211341003,195.045974731445,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,08,08,1,2,211341003,31.9422016143799,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,09,09,1,2,211341003,52.6927947998047,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,10,10,1,2,211341003,49.2470893859863,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10891,11,11,1,2,211341003,44.7594184875488,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10892,01,01,1,2,211351003,.488275647163391,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10892,02,02,1,2,211351003,6.94669914245605,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,01,01,1,2,211342003,18.2963466644287,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,02,02,1,2,211342003,86.6480407714844,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,03,03,1,2,211342003,64.3998947143555,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,04,04,1,2,211342003,13.9626541137695,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,05,05,1,2,211342003,497.900573730469,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,06,06,1,2,211342003,45.3460273742676,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,07,07,1,2,211342003,474.112854003906,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,08,08,1,2,211342003,653.094055175781,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,09,09,1,2,211342003,59.2854118347168,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,10,10,1,2,211342003,250.887985229492,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10893,11,11,1,2,211342003,483.243347167969,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10894,01,01,1,2,211343003,158.126403808594,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10894,02,02,1,2,211343003,16.6115493774414,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10894,03,03,1,2,211343003,7.8382396697998,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10894,04,04,1,2,211343003,5.15373134613037,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10894,05,05,1,2,211343003,6.58512163162231,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10894,06,06,1,2,211343003,21.0607833862305,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10894,07,07,1,2,211343003,76.2857894897461,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10895,01,01,1,2,211341002,63.700439453125,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10895,02,02,1,2,211341002,.970914900302887,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10895,03,03,1,2,211341002,357.609802246094,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10895,04,04,1,2,211341002,259.827819824219,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10895,05,05,1,2,211341002,264.231323242188,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10895,06,06,1,2,211341002,9.12739849090576,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10895,07,07,1,2,211341002,176.337631225586,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10896,01,01,1,2,211341003,27.475040435791,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10896,02,02,1,2,211341003,467.511260986328,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10896,03,03,1,2,211341003,215.939682006836,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10896,04,04,1,2,211341003,436.029602050781,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10896,05,05,1,2,211341003,52.0172882080078,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10896,06,06,1,2,211341003,311.050476074219,1, ,1,0,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10896,07,07,1,2,211341003,6.64276599884033,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10897,01,01,1,2,211351002,4.24377107620239,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10898,01,01,1,2,211341003,161.131317138672,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10898,02,02,1,2,211341003,39.2520713806152,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10898,03,03,1,2,211341003,21.1182022094727,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10899,01,01,1,2,211343001,.0400826781988144,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,1,0,1,0,0,0,0,0,0, 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10899,02,02,1,2,211343001,.00996760744601488,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10899,03,03,1,2,211343001,1.83058989048004,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10899,04,04,1,2,211343001,1.67705750465393,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10899,05,05,1,2,211343001,.0100079476833344,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
2024,21,PUNO,13,YUNGUYO,01,YUNGUYO,10900,01,01,1,2,211341003,128.719680786133,1, ,1,1,0,2, , , , , , , , , , , , , , , , , , , , , , ,2, ,2, , , , , , , , , 
