ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00007,2, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,464,0,0,0,0,90,554,1500, , ,0,0,60,0,0,0,0,0,0, , , , ,0,0,0,0,0,20,1580,2134, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00013,3, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,240,0,0,0,0,0,240,300, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,540, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00020,4, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,840,0,0,0,0,0,840,2500, , ,16,0,80,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,2596,3436, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00024,5, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,320,0,0,0,0,80,400,1500, , ,4,0,20,10,0,0,0,0,0, , , , ,0,0,0,0,0,50,1584,1984, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00034,6, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,160,0,0,0,0,90,250,800, , ,0,0,60,0,0,0,0,120,0, , ,1, ,0,0,0,0,0,150,1130,1380, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00036,7, ,1,2,6,162.719047619048,1,1,0,0,0,0,0,0, , , , ,0,0,560,0,0,0,0,100,660, , , , , , , , , , , , , , , , , , , , , , , ,660, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00047,8, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,238,0,0,0,0,50,288,100, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,100,388, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00058,9, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,360,0,0,0,0,100,460,400, , ,0,0,60,0,0,0,0,0,150, , , ,1,0,0,0,0,0,120,730,1190, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00070,10, ,1,2,6,162.719047619048,1,1,1,0,0,0,60,0, , ,2, ,0,0,240,0,0,0,0,180,480,700, , ,0,0,40,5,0,0,0,0,100, , , ,1,0,0,0,0,0,170,1015,1495, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00078,11, ,1,2,6,162.719047619048,1,1,1,1000,0,0,0,0, , , , ,0,0,480,800,0,0,0,90,2370,800, , ,0,0,28,10,0,0,0,0,0, , , , ,0,0,0,0,0,45,883,3253, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00082,12, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,80, , , ,2,0,0,432,0,0,0,0,50,562,1000, , ,15,0,75,0,0,0,0,0,100, , , ,1,0,0,0,0,0,150,1340,1902, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00101,13, ,1,2,6,162.719047619048,1,1,1,50,0,0,0,0, , , , ,0,0,240,0,0,0,0,60,350,400, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,400,750, 
2017,21,PUNO,03,CARABAYA,07,ITUATA,16863,00103,14, ,1,2,6,162.719047619048,1,1,0,0,0,0,100,60, , ,2,2,0,0,540,0,0,0,0,65,765, , , , , , , , , , , , , , , , , , , , , , , ,765, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00019,1, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,760,0,0,0,0,120,880,950, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,20,970,1850, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00023,2, ,1,2,6,162.719047619048,1,1,1,20,0,0,300,30, , ,1,1,0,0,0,0,0,0,0,0,350,300, , ,20,0,60,0,0,0,0,0,0, , , , ,150,0,0,0,0,10,540,890, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00044,3, ,1,2,6,162.719047619048,1,1,1,0,0,0,400,0, , ,3, ,0,0,880,0,0,0,0,270,1550,980, , ,0,0,50,0,0,0,0,0,0, , , , ,150,0,0,0,0,0,1180,2730, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00049,4, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,440,0,0,0,0,85,525,1250, , ,0,0,120,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1370,1895, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00058,5, ,1,2,6,162.719047619048,1,0,1, , , , , , , , , , , , , , , , , , ,400, , ,5,0,5,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,410,410, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00065,6, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,105,0,0,0,0,100,205,2650, , ,40,0,80,0,0,0,0,420,140, , ,3,2,0,0,0,0,0,0,3330,3535, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00090,7, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,180,0,0,0,0,0,180,680, , ,0,0,25,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,705,885, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00106,8, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,120,0,0,0,0,120,240,550, , ,10,0,35,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,595,835, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00114,9, ,1,2,6,162.719047619048,1,0,1, , , , , , , , , , , , , , , , , , ,200, , ,8,0,8,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,216,216, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00123,10, ,1,2,6,162.719047619048,1,1,1,1000,0,0,0,0, , , , ,0,0,100,0,0,0,0,110,1210,1500, , ,0,0,180,0,0,0,0,0,0, , , , ,400,0,0,0,0,40,2120,3330, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00132,11, ,1,2,6,162.719047619048,1,1,1,120,0,0,0,0, , , , ,0,0,515,0,0,0,0,140,775,720, , ,0,0,120,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,840,1615, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00143,12, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,90,90,1960, , ,0,0,220,0,0,0,0,0,0, , , , ,0,0,0,0,0,650,2830,2920, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00153,13, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,120,0,0,0,0,0,120,650, , ,15,0,15,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,680,800, 
2017,21,PUNO,03,CARABAYA,06,CRUCERO,16885,00154,14, ,1,2,6,162.719047619048,1,1,1,0,0,0,180,0, , ,3, ,0,0,100,0,0,0,0,180,460,6700, , ,0,0,280,35,0,0,0,0,0, , , , ,0,0,0,0,0,800,7815,8275, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00012,1, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,480,0,0,0,0,0,480,300, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,780, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00030,2, ,1,2,6,162.719047619048,1,1,0,0,0,0,0,0, , , , ,0,0,240,0,0,0,0,0,240, , , , , , , , , , , , , , , , , , , , , , , ,240, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00031,3, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,765,0,0,0,0,0,765,350, , ,0,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,20,400,1165, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00050,4, ,1,2,6,162.719047619048,1,1,1,0,0,0,120,0, , ,1, ,0,0,1020,0,0,0,0,0,1140,125, , ,5,0,20,0,0,0,0,0,0, , , , ,206,0,0,0,0,0,356,1496, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00068,5, ,1,2,6,162.719047619048,1,1,0,0,0,0,400,30, , ,1,1,0,0,560,0,0,0,0,0,990, , , , , , , , , , , , , , , , , , , , , , , ,990, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00069,6, ,1,2,6,162.719047619048,1,1,1,0,0,0,400,180, , ,4,2,0,0,400,0,0,0,0,0,980,280, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,27,307,1287, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00088,7, ,1,2,6,162.719047619048,1,1,1,40,0,0,200,180, , ,2,6,0,0,1120,0,0,0,0,0,1540,340, , ,10,0,90,0,0,0,0,0,0, , , , ,206,0,0,0,0,0,646,2186, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00103,8, ,1,2,6,162.719047619048,1,1,1,0,0,0,450,180, , ,3,3,0,0,1700,0,0,0,0,0,2330,150, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,150,2480, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00108,9, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,480,0,0,0,0,0,480,200, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,200,680, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00127,10, ,1,2,6,162.719047619048,1,1,1,800,0,0,0,0, , , , ,0,0,690,0,0,0,0,0,1490,250, , ,10,0,20,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,280,1770, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00133,11, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,160,0,0,0,0,0,160,400, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,400,560, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00140,12, ,1,2,6,162.719047619048,1,1,0,0,0,0,400,0, , ,1, ,0,0,400,0,0,0,0,0,800, , , , , , , , , , , , , , , , , , , , , , , ,800, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00149,13, ,1,2,6,162.719047619048,1,0,1, , , , , , , , , , , , , , , , , , ,840, , ,0,0,450,10,0,0,0,0,0, , , , ,0,0,0,0,0,20,1320,1320, 
2017,21,PUNO,12,SANDIA,03,LIMBANI,16891,00157,14, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,129,0,0,0,0,0,129,420, , ,20,0,80,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,520,649, 
2017,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16903,00003,1, ,1,3,7,50.0595238095238,1,1,0,0,0,0,350,450, , ,3,4,0,0,0,0,0,0,0,0,800, , , , , , , , , , , , , , , , , , , , , , , ,800, 
2017,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16903,00013,2, ,1,3,7,50.0595238095238,1,1,0,0,0,0,340,150, , ,3,2,0,0,0,0,0,0,0,0,490, , , , , , , , , , , , , , , , , , , , , , , ,490, 
2017,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16903,00028,3, ,1,3,7,50.0595238095238,1,1,0,0,0,0,250,150, , ,2,1,0,0,0,0,0,0,0,0,400, , , , , , , , , , , , , , , , , , , , , , , ,400, 
2017,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16903,00035,4, ,1,3,7,50.0595238095238,1,1,1,0,0,0,650,550, , ,4,3,0,0,0,0,0,0,0,0,1200,300, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,1500, 
2017,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16903,00045,5, ,1,3,7,50.0595238095238,1,1,1,0,0,0,360,450, , ,3,5,0,0,0,0,0,0,0,0,810,120, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,120,930, 
2017,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16903,00058,6, ,1,3,7,50.0595238095238,1,1,0,0,0,0,500,0, , ,2, ,0,0,0,0,0,0,0,0,500, , , , , , , , , , , , , , , , , , , , , , , ,500, 
2017,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16903,00071,7, ,1,3,7,50.0595238095238,1,1,1,0,0,0,230,230, , ,2,2,0,0,0,0,0,0,0,0,460,120, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,120,580, 
2017,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16903,00075,8, ,1,3,7,50.0595238095238,1,1,0,0,0,0,210,210, , ,1,1,0,0,0,0,0,0,0,0,420, , , , , , , , , , , , , , , , , , , , , , , ,420, 
2017,21,PUNO,12,SANDIA,10,SAN PEDRO DE PUTINA PUNCO,16903,00089,9, ,1,3,7,50.0595238095238,1,1,1,0,0,0,200,0, , ,1, ,0,0,0,0,0,0,0,0,200,300, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,500, 
