ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16831,00117,14, ,1,3,7,50.0595238095238,1, ,1,1,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,35,35,290, , ,0,0,6,5,0,0,0,0,0, , , , ,0,0,0,0,0,0,301,336, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00008,1, ,1,3,7,53.9102564102564,1, ,1,1,0,0,0,800,200, , ,12,1,0,0,0,0,0,0,24,18,1042,200, , ,0,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,210,1252, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00015,2, ,1,3,7,53.9102564102564,1, ,1,0,0,0,0,200,0, , ,1, ,0,0,0,0,0,0,12,20,232, , , , , , , , , , , , , , , , , , , , , , , ,232, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00040,3, ,1,3,7,53.9102564102564,1, ,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,200,310,510, , , , , , , , , , , , , , , , , , , , , , , ,510, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00051,4, ,1,3,7,53.9102564102564,1, ,1,1,0,0,0,1000,500, , ,15,3,0,0,0,0,0,0,0,36,1536,500, , ,0,0,40,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,540,2076, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00068,5, ,1,3,7,53.9102564102564,1, ,1,1,0,0,0,150,50, , ,2,1,0,0,50,0,0,0,0,0,250,500, , ,10,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,30,590,840, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00087,6, ,1,3,7,53.9102564102564,1, ,1,1,0,0,0,320,160, , ,2,2,0,0,160,0,0,0,0,150,790,1200, , ,100,0,50,0,10,0,0,0,0, , , , ,0,0,0,0,0,60,1420,2210, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00106,7, ,1,3,7,53.9102564102564,1, ,1,1,0,0,0,500,300, , ,3,2,0,0,80,0,0,0,0,0,880,1500, , ,0,0,150,0,10,0,0,0,0, , , , ,0,0,0,0,0,0,1660,2540, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00130,8, ,1,3,7,53.9102564102564,1, ,1,1,0,0,0,150,50, , ,1,1,0,0,80,0,0,0,0,0,280,800, , ,40,0,100,0,10,0,0,0,0, , , , ,0,0,0,0,0,50,1000,1280, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00140,9, ,1,3,7,53.9102564102564,1, ,1,1,0,0,0,500,500, , ,8,2,0,0,0,3600,0,0,90,120,4810,300, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,300,5110, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00162,10, ,1,3,7,53.9102564102564,1, ,1,0,0,0,0,300,100, , ,2,1,0,0,0,0,0,0,0,24,424, , , , , , , , , , , , , , , , , , , , , , , ,424, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00188,11, ,1,3,7,53.9102564102564,1, ,1,0,0,0,0,40,60, , ,1,1,0,0,0,0,0,0,110,50,260, , , , , , , , , , , , , , , , , , , , , , , ,260, 
2018,21,PUNO,03,CARABAYA,09,SAN GABAN,16833,00207,13, ,1,3,7,53.9102564102564,1, ,1,1,0,0,0,3000,1000, , ,30,2,0,0,0,0,0,0,80,45,4125,480, , ,10,0,50,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,550,4675, 
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00012,1, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,200,80, , ,2,1,0,0,0,300,0,0,0,90,670, , , , , , , , , , , , , , , , , , , , , , , ,670, 
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00014,2, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,100,100, , ,1,1,0,0,0,0,0,0,0,50,250,300, , ,10,0,20,5,0,0,0,0,0, , , , ,0,0,0,0,0,0,335,585, 
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00025,3, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,100,0, , ,2, ,0,0,0,0,0,0,0,20,120, , , , , , , , , , , , , , , , , , , , , , , ,120, 
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00035,4, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,0,80, , , ,1,0,0,0,0,0,0,0,80,160, , , , , , , , , , , , , , , , , , , , , , , ,160, 
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00045,6, ,1,2,6,162.719047619048,1, ,1,1,0,0,0,300,0, , ,1, ,0,0,0,0,0,0,0,100,400,100, , ,3,0,5,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,108,508, 
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00052,7, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,0,100, , , ,1,0,0,0,0,0,0,0,50,150, , , , , , , , , , , , , , , , , , , , , , , ,150, 
2018,21,PUNO,03,CARABAYA,03,AYAPATA,16837,00054,8, ,1,2,6,162.719047619048,1, ,1,0,0,0,0,100,100, , ,1,1,0,0,0,0,0,0,0,50,250, , , , , , , , , , , , , , , , , , , , , , , ,250, 
