ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00011,1,1,3,7,59.3263888888889,1,1,1,0,0,0,750,400, , ,3,2,0,0,0,0,0,0,20,0,1170,825,0,0,10,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,835,2005, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00022,2,1,3,7,59.3263888888889,1,1,1,0,0,0,300,300, , ,2,2,0,0,0,0,0,0,0,0,600,1125,0,0,15,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1140,1740, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00035,3,1,3,7,59.3263888888889,1,1,1,0,0,0,500,0, , ,2, ,0,0,0,0,0,0,0,50,550,2000,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,2000,2550, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00043,4,1,3,7,59.3263888888889,1,1,0,0,0,0,1350,0, , ,4, ,0,0,0,0,0,0,150,0,1500, , , , , , , , , , , , , , , , , , , , , ,1500, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00068,6,1,3,7,59.3263888888889,1,1,1,0,0,0,1500,0, , ,10, ,0,0,0,0,0,0,60,0,1560,800,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,800,2360, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00079,7,1,3,7,59.3263888888889,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , ,0, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00104,9,1,3,7,59.3263888888889,1,1,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,50,50, , , , , , , , , , , , , , , , , , , , , ,50, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00107,10,1,3,7,59.3263888888889,1,1,1,0,0,0,360,0, , ,2, ,0,0,0,0,0,0,0,50,410,600,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,600,1010, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00112,11,1,3,7,59.3263888888889,1,1,1,0,0,0,240,0, , ,2, ,0,0,20,0,0,0,20,100,380,1000,0,0,0,20,0,0,0,0,0, , , , ,0,0,0,0,0,0,1020,1400, 
2021,21,PUNO,03,CARABAYA,09,SAN GABAN,16830,00125,12,1,3,7,59.3263888888889,1,1,1,0,0,0,720,0, , ,2, ,0,0,0,0,0,0,30,15,765,1000,0,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,1050,1815, 
