ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P101A,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1C,P1002B_1D,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002B_7A_1C,P1002B_7A_2C,P1002B_7B_1C,P1002B_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_9C,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00045,8,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,200, , , ,1,0,0,0,0,0,0,0,0,200,720,0, , ,0,0,0,10,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,730,930, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00048,9,1,2,6,162.719047619048,1, ,1,1,0,0,0,90,90, , ,1,1,0,0,300,0,0,0,0,0,480,1800,0, , ,200,0,50,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,2050,2530, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00054,10,1,2,6,162.719047619048,1, ,1,0,0,0,0,0,360, , , ,1,0,0,0,0,0,0,0,0,360, , , , , , , , , , , , , , , , , , , , , , , , , ,360, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00062,11,1,2,6,162.719047619048,1, ,1,1,0,0,0,200,0, , ,2, ,0,0,350,0,0,0,0,0,550,2000,0, , ,0,0,0,20,0,0,0,150,0, , ,1, ,0,0,0,0,0,0,0,2170,2720, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00067,12,1,2,6,162.719047619048,1, ,1,1,0,0,0,1250,240, , ,5,2,0,0,500,0,0,0,0,0,1990,6000,0, , ,200,200,100,50,0,0,0,200,0, , ,2, ,4500,0,0,0,0,0,0,11250,13240, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00079,13,1,2,6,162.719047619048,1, ,1,1,0,0,0,960,800, , ,4,4,0,0,250,0,0,0,0,0,2010,1200,0, , ,0,0,0,50,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,1250,3260, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00087,14,1,2,6,162.719047619048,1, ,1,1,0,0,0,0,0, , , , ,0,0,100,0,0,0,0,0,100,2700,0, , ,35,0,30,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,0,2765,2865, 
2022,21,PUNO,03,CARABAYA,04,COASA,16849,00088,15,1,2,6,162.719047619048,1, ,1,0,0,0,0,0,0, , , , ,0,0,150,0,0,0,0,0,150, , , , , , , , , , , , , , , , , , , , , , , , , ,150, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00023,1,1,2,6,174.341836734694,1, ,0,1, , , , , , , , , , , , , , , , , , ,7200,0, , ,0,100,1000,60,0,0,0,600,0, , ,2, ,0,0,0,0,0,0,200,9160,9160, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00051,2,1,2,6,174.341836734694,1, ,0,1, , , , , , , , , , , , , , , , , , ,2400,0, , ,150,200,90,25,0,0,0,0,0, , , , ,50,0,0,0,0,0,70,2985,2985, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00064,4,1,2,6,174.341836734694,1, ,0,1, , , , , , , , , , , , , , , , , , ,1440,1600, , ,160,600,200,50,0,0,0,0,0, , , , ,600,0,0,0,0,0,4400,9050,9050, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00070,5,1,2,6,174.341836734694,1, ,0,1, , , , , , , , , , , , , , , , , , ,4000,3000, , ,0,5000,0,1000,0,6000,0,1800,0,1, ,13, ,2500,0,1000,0,0,0,10000,34300,34300, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00084,6,1,2,6,174.341836734694,1, ,1,1,12000,0,0,0,0, , , , ,0,0,0,0,0,0,40,0,12040,2180,960, , ,250,1500,0,200,0,0,0,0,690, , , ,1,1120,0,0,0,0,0,2400,9300,21340, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00089,7,1,2,6,174.341836734694,1, ,0,1, , , , , , , , , , , , , , , , , , ,1680,0, , ,0,0,0,60,0,0,0,280,0, , ,4, ,300,0,0,0,0,0,130,2450,2450, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00109,8,1,2,6,174.341836734694,1, ,0,1, , , , , , , , , , , , , , , , , , ,5000,0, , ,0,0,120,0,0,0,0,0,0, , , , ,50,0,0,0,0,0,0,5170,5170, 
2022,21,PUNO,03,CARABAYA,01,MACUSANI,16868,00116,9,1,2,6,174.341836734694,1, ,1,1,120,0,0,120,320, , ,2,2,0,0,220,0,0,0,0,0,780,2500,0, , ,0,250,200,100,0,4800,0,120,0,1, ,1, ,0,0,0,0,0,0,600,8570,9350, 
