ANIO,CCDD,NOMBREDD,CCPP,NOMBREPV,CCDI,NOMBREDI,CONGLOMERADO,NSELUA,UA,ESTRATO,RESFIN,REGION,DOMINIO,FACTOR,CODIGO,P102_1,P102_2,P1001A_1,P1001A_2A_1,P1001A_2A_2,P1001A_2B_1,P1001A_2B_2,P1001A_2A_1C,P1001A_2A_2C,P1001A_2B_1C,P1001A_2B_2C,P1001A_3,P1001A_4,P1001A_5,P1001A_5A,P1001A_5B,P1001A_6A,P1001A_6B,P1001A_6C,P1001A_TOTAL,P1002B_1,P1002B_1A,P1002B_1B,P1002B_2,P1002B_3,P1002B_4,P1002B_5,P1002B_6,P1002B_7A_1,P1002B_7A_2,P1002B_7B_1,P1002B_7B_2,P1002A_7A_1C,P1002A_7A_2C,P1002A_7B_1C,P1002A_7B_2C,P1002B_8,P1002B_9,P1002B_9A,P1002B_9B,P1002B_10A,P1002B_10B,P1002B_TOTAL,P1000_TOTAL,OMICAP1000
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00010,2, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,15,0,0,0,0,0,15,30, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,30,45, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00015,3, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,400,0,0,0,0,0,400,2000, , ,10,0,40,0,0,0,0,0,0, , , , ,0,0,0,0,0,100,2150,2550, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00022,4, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,72,0,0,0,0,0,72,800, , ,0,0,0,0,10,0,0,0,0, , , , ,0,0,0,0,0,150,960,1032, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00026,5, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,36,0,0,0,0,0,36,800, , ,100,0,15,0,20,0,0,0,0, , , , ,0,0,0,0,0,0,935,971, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00033,6, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,400,0,0,0,0,0,400,1800, , ,0,0,360,0,800,0,0,0,0, , , , ,0,0,0,0,0,0,2960,3360, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00046,7, ,1,2,6,162.719047619048,1,1,1,0,0,0,120,60, , ,4,2,0,0,80,0,0,0,0,0,260,200, , ,0,0,0,0,0,0,0,0,0, , , , ,0,0,0,0,0,0,200,460, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00056,8, ,1,2,6,162.719047619048,1,1,1,0,0,0,0,0, , , , ,0,0,80,0,0,0,0,0,80,800, , ,0,0,0,0,0,0,0,0,250, , , ,1,0,0,0,0,0,80,1130,1210, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00064,9, ,1,2,6,162.719047619048,1,1,0,150,0,0,0,0, , , , ,0,0,0,0,0,0,0,0,150, , , , , , , , , , , , , , , , , , , , , , , ,150, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00068,10, ,1,2,6,162.719047619048,1,1,1,0,0,0,30,30, , ,1,1,0,0,18,0,0,0,0,20,98,760, , ,10,20,20,12,10,0,0,0,0, , , , ,0,0,0,0,0,70,902,1000, 
2016,21,PUNO,03,CARABAYA,07,ITUATA,16863,00081,11, ,1,2,6,162.719047619048,1,1,0,350,0,0,375,250, , ,15,10,0,0,72,0,0,0,0,0,1047, , , , , , , , , , , , , , , , , , , , , , , ,1047, 
